,year,GeoLocation
1317,1991.0,Algeria
1318,1991.0,Algeria
1319,1991.0,Algeria
1320,1991.0,Algeria
1321,1991.0,Algeria
1322,1991.0,Algeria
1323,1991.0,Algeria
1324,1991.0,Algeria
1325,1991.0,Algeria
1326,1991.0,Algeria
1327,1991.0,Algeria
1328,1991.0,Algeria
1329,1991.0,Algeria
1330,1991.0,Algeria
1331,1991.0,Algeria
1332,1991.0,Algeria
1334,1991.0,Algeria
1335,1991.0,Algeria
1336,1991.0,Algeria
1337,1991.0,Algeria
1338,1991.0,Algeria
1339,1991.0,Algeria
1340,1991.0,Algeria
1341,1991.0,Algeria
1342,1991.0,Algeria
1343,1991.0,Algeria
1344,1991.0,Algeria
1345,1991.0,Algeria
1346,1991.0,Algeria
1347,1991.0,Algeria
1348,1991.0,Algeria
1349,1991.0,Algeria
1350,1991.0,Algeria
1351,1991.0,Algeria
1352,1991.0,Algeria
1353,1991.0,Algeria
1354,1991.0,Algeria
1355,1991.0,Algeria
1356,1991.0,Algeria
1357,1991.0,Algeria
1358,1991.0,Algeria
1359,1991.0,Algeria
1360,1991.0,Algeria
1361,1991.0,Algeria
1362,1991.0,Algeria
1363,1991.0,Algeria
1364,1991.0,Algeria
1365,1991.0,Algeria
1366,1991.0,Algeria
1367,1991.0,Algeria
1368,1991.0,Algeria
1369,1991.0,Algeria
1370,1991.0,Algeria
1371,1991.0,Algeria
1372,1991.0,Algeria
1373,1991.0,Algeria
1374,1991.0,Algeria
1375,1991.0,Algeria
1376,1991.0,Algeria
1377,1991.0,Algeria
1378,1991.0,Algeria
1379,1991.0,Algeria
1380,1991.0,Algeria
1381,1991.0,Algeria
1382,1991.0,Algeria
1383,1991.0,Algeria
1384,1991.0,Algeria
1385,1991.0,Algeria
1386,1991.0,Algeria
1387,1991.0,Algeria
1388,1991.0,Algeria
1389,1991.0,Algeria
1390,1991.0,Algeria
1391,1991.0,Algeria
1392,1991.0,Algeria
1393,1991.0,Algeria
1394,1991.0,Algeria
1395,1991.0,Algeria
1396,1991.0,Algeria
1397,1991.0,Algeria
1398,1991.0,Algeria
1399,1991.0,Algeria
1400,1991.0,Algeria
1401,1991.0,Algeria
1402,1992.0,Algeria
1403,1992.0,Algeria
1404,1992.0,Algeria
1405,1992.0,Algeria
1406,1992.0,Algeria
1407,1992.0,Algeria
1408,1992.0,Algeria
1409,1992.0,Algeria
1410,1992.0,Algeria
1411,1992.0,Algeria
1412,1992.0,Algeria
1413,1992.0,Algeria
1414,1992.0,Algeria
1415,1992.0,Algeria
1416,1992.0,Algeria
1417,1992.0,Algeria
1418,1992.0,Algeria
1419,1992.0,Algeria
1420,1992.0,Algeria
1421,1992.0,Algeria
1422,1992.0,Algeria
1423,1992.0,Algeria
1424,1992.0,Algeria
1425,1992.0,Algeria
1426,1992.0,Algeria
1427,1992.0,Algeria
1428,1992.0,Algeria
1429,1992.0,Algeria
1430,1992.0,Algeria
1431,1992.0,Algeria
1433,1992.0,Algeria
1434,1992.0,Algeria
1435,1992.0,Algeria
1436,1992.0,Algeria
1437,2001.0,Algeria
1438,2001.0,Algeria
1439,2001.0,Algeria
1440,2001.0,Algeria
1443,2001.0,Algeria
1444,2001.0,Algeria
1445,2001.0,Algeria
1446,2001.0,Algeria
1447,2001.0,Algeria
1448,2001.0,Algeria
1449,2001.0,Algeria
1450,2002.0,Algeria
1451,2002.0,Algeria
1452,2002.0,Algeria
1453,2002.0,Algeria
1454,2002.0,Algeria
1455,2002.0,Algeria
1456,2002.0,Algeria
1457,2002.0,Algeria
1458,2002.0,Algeria
1459,2002.0,Algeria
1460,2002.0,Algeria
1461,2002.0,Algeria
1462,2002.0,Algeria
1463,2001.0,Algeria
1464,2001.0,Algeria
1465,2001.0,Algeria
1466,2001.0,Algeria
1467,2001.0,Algeria
1468,2001.0,Algeria
1469,2001.0,Algeria
1470,2001.0,Algeria
1471,2002.0,Algeria
1472,2002.0,Algeria
1473,2001.0,Algeria
1474,2002.0,Algeria
1475,2002.0,Algeria
1476,2002.0,Algeria
1477,2002.0,Algeria
1478,2002.0,Algeria
1479,2002.0,Algeria
1480,2002.0,Algeria
1481,2002.0,Algeria
1482,2002.0,Algeria
1483,2002.0,Algeria
1484,2002.0,Algeria
1485,2002.0,Algeria
1486,2002.0,Algeria
1487,2002.0,Algeria
1488,2002.0,Algeria
1489,2002.0,Algeria
1490,2002.0,Algeria
1491,2002.0,Algeria
1492,2002.0,Algeria
1493,2002.0,Algeria
1494,2003.0,Algeria
1495,2004.0,Algeria
1496,2002.0,Algeria
1497,2002.0,Algeria
1498,2002.0,Algeria
1499,2004.0,Algeria
1500,2004.0,Algeria
1501,2004.0,Algeria
1502,2004.0,Algeria
1503,2004.0,Algeria
1504,2004.0,Algeria
1505,1997.0,Algeria
1506,1997.0,Algeria
1507,2001.0,Algeria
1508,2001.0,Algeria
1509,2001.0,Algeria
1510,2001.0,Algeria
1511,2001.0,Algeria
1512,2001.0,Algeria
1513,2001.0,Algeria
1514,2002.0,Algeria
1516,1995.0,United States
1521,2005.0,Mauritania
1527,1990.0,Algeria
1528,1990.0,Algeria
1529,1990.0,Algeria
1530,2001.0,Niger
1531,2003.0,Niger
1532,1997.0,Niger
1533,2002.0,Niger
1534,2002.0,Niger
1538,2000.0,Morocco
1539,2000.0,Morocco
1542,1990.0,Algeria
1543,1990.0,Algeria
1544,1990.0,Algeria
1545,1990.0,Algeria
1546,1991.0,Algeria
1547,1992.0,Algeria
1548,1992.0,Algeria
1549,1992.0,Algeria
1550,1992.0,Algeria
1551,1993.0,Algeria
1552,1993.0,Algeria
1553,1993.0,Algeria
1554,1993.0,Algeria
1555,1993.0,Algeria
1556,1993.0,Algeria
1557,1993.0,Algeria
1558,2001.0,Algeria
1566,2005.0,Egypt
1567,2006.0,Morocco
1568,2000.0,Oman
1569,2000.0,Oman
1570,2002.0,Oman
1571,2002.0,Oman
1572,2002.0,Oman
1573,2002.0,Oman
1574,2002.0,Oman
1575,2002.0,Oman
1576,2002.0,Oman
1577,2002.0,Oman
1578,2002.0,Oman
1579,2003.0,Oman
1580,2002.0,Oman
1581,2003.0,Oman
1582,2001.0,Oman
1583,2001.0,Oman
1584,2001.0,Oman
1585,2001.0,Oman
1586,2001.0,Oman
1587,2001.0,Oman
1588,2001.0,Oman
1589,2001.0,Oman
1590,2001.0,Oman
1591,2001.0,Oman
1592,2006.0,Oman
1593,2002.0,Oman
1594,2007.0,Oman
1595,2007.0,Oman
1596,2009.0,Oman
1597,2009.0,Oman
1598,2009.0,Oman
1599,2009.0,Oman
1600,2009.0,Oman
1601,2009.0,Oman
1602,2010.0,Oman
1603,2010.0,Oman
1604,2010.0,Oman
1605,2010.0,Oman
1606,2010.0,Oman
1607,2010.0,Oman
1608,2010.0,Oman
1609,2010.0,Oman
1610,2010.0,Oman
1611,2010.0,Oman
1612,2010.0,Oman
1613,2010.0,Oman
1614,2010.0,Oman
1615,2010.0,Oman
